"rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
8587,blaxican02,2910,215,"Tucson, AZ",Tucson,AZ,"Tucson, AZ",,"Tucson, AZ",,,,AZ,TUCSON,2022-05-28 02:00:00.000,2022-05-14 02:00:00,2022-05-28 02:00:00.000
8588,miggzzxxx,2910,,"Sacramento, CA",Sacramento,CA,"Sacramento, CA",,"Sacramento, CA",,,,CA,SACRAMENTO,2022-05-28 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8589,ag79ldn,2909,,"London, England",London,England,"London, England",,"London, England",,,,,,2022-05-28 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8590,dustincarter619,2900,,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8591,alekseidem,2898,,Мир,Мир,,Мир,,Мир,,,,,,2022-05-27 02:00:00.000,2022-05-19 02:00:00,2022-05-28 02:00:00.000
8592,xxxcon95,2892,,Mi,Mi,,Mi,,Mi,,,,MI,,2022-04-23 02:00:00.000,2022-02-28 01:00:00,2022-05-28 02:00:00.000
8593,adamfriskxo,2891,24,Australia,Australia,,Australia,,Australia,,,,,,2022-05-28 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8594,desertboyx,2891,,"Palm Springs, CA",Palm Springs,CA,"Palm Springs, CA",,"Palm Springs, CA",,,,CA,,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8595,nickbanksxxx,2887,,Chicago,Chicago,,Chicago,,Chicago,,,,IL,CHICAGO,2022-05-27 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8596,wankalot9inch,2885,7700,justfor.fans/Wankalot9inch ,justfor.fans/Wankalot9inch,,justfor.fans/Wankalot9inch,,justfor.fans,Wankalot9inch,,,,,2022-05-27 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8597,rickyxtreme,2883,9,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8598,trentonducati2,2881,,"Los Angeles, CA",Los Angeles,CA,"Los Angeles, CA",,"Los Angeles, CA",,,,CA,LOS ANGELES,2022-05-27 02:00:00.000,2022-05-15 02:00:00,2022-05-28 02:00:00.000
8599,slcutsir,2873,280,"Salt Lake City, UT",Salt Lake City,UT,"Salt Lake City, UT",,"Salt Lake City, UT",,,,UT,SALT LAKE CITY,2022-05-27 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8600,sirpigxxx,2872,,"Newcastle Upon Tyne, England",Newcastle Upon Tyne,England,"Newcastle Upon Tyne, England",,"Newcastle Upon Tyne, England",,,,,,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8601,brockxkniles,2872,31,"San Diego, CA",San Diego,CA,"San Diego, CA",,"San Diego, CA",,,,CA,SAN DIEGO,2022-05-27 02:00:00.000,2022-05-17 02:00:00,2022-05-28 02:00:00.000
8602,mocacreamxxx,2872,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-05-27 02:00:00.000,2022-04-13 02:00:00,2022-05-28 02:00:00.000
8603,guynamedjayy,2869,44,"Chicago, IL",Chicago,IL,"Chicago, IL",,"Chicago, IL",,,,IL,CHICAGO,2022-05-27 02:00:00.000,2022-05-26 02:00:00,2022-05-28 02:00:00.000
8604,21cmsaa,2868,,"Querétaro, Querétaro Arteaga",Querétaro,Querétaro Arteaga,"Querétaro, Querétaro Arteaga",,"Querétaro, Querétaro Arteaga",,,,,,2022-05-27 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8605,therealvinroxx,2866,6900,"Gainesville, FL",Gainesville,FL,"Gainesville, FL",,"Gainesville, FL",,,,FL,GAINESVILLE,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8606,javithunderfuck,2864,,Sevilla (sur),Sevilla (sur),,Sevilla (sur),,Sevilla (sur),,,,,,2022-05-28 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8607,jtaltx,2862,,"Staffordshire, UK",Staffordshire,UK,"Staffordshire, UK",,"Staffordshire, UK",,,,,,2022-05-28 02:00:00.000,2022-05-23 02:00:00,2022-05-28 02:00:00.000
8608,superwedgieboy,2860,,"Cleveland, OH",Cleveland,OH,"Cleveland, OH",,"Cleveland, OH",,,,OH,CLEVELAND,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8609,gaysotoncouple,2860,217,"Southampton, England",Southampton,England,"Southampton, England",,"Southampton, England",,,,,,2022-05-28 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8610,hancock18651,2858,,downtown_westside_bmore,downtown_westside_bmore,,downtown_westside_bmore,,downtown_westside_bmore,,,,,,2022-05-27 02:00:00.000,2022-05-06 02:00:00,2022-05-28 02:00:00.000
8611,mbcumpig89,2854,,"Ilkeston, England",Ilkeston,England,"Ilkeston, England",,"Ilkeston, England",,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8612,fuckxxxdante,2853,1800,"Jesús Maria, Peru",Jesús Maria,Peru,"Jesús Maria, Peru",,"Jesús Maria, Peru",,,,,,2022-05-27 02:00:00.000,2022-05-21 02:00:00,2022-05-28 02:00:00.000
8613,romaneric2,2844,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-05-27 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8614,richard61572733,2844,,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8615,whilealivexxx,2839,197,"Paris, France",Paris,France,"Paris, France",,"Paris, France",,,,,,2022-05-27 02:00:00.000,2022-05-11 02:00:00,2022-05-28 02:00:00.000
8616,mikeythomasxxx,2839,,"Orange County, CA",Orange County,CA,"Orange County, CA",,"Orange County, CA",,,,CA,ORANGE,2022-05-27 02:00:00.000,2022-05-20 02:00:00,2022-05-28 02:00:00.000
8617,blazeurbanxxx,2830,,"San Clemente, CA",San Clemente,CA,"San Clemente, CA",,"San Clemente, CA",,,,CA,,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8618,lucassparksxxx,2829,3300,"Chicago, IL",Chicago,IL,"Chicago, IL",,"Chicago, IL",,,,IL,CHICAGO,2022-05-27 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8619,macsenx,2826,520,UK,UK,,UK,,UK,,,,,,2022-03-28 02:00:00.000,2022-03-07 01:00:00,2022-05-28 02:00:00.000
8620,_butthefagis,2823,,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8621,rosswilsoncam,2822,,"Florida, United States",Florida,United States,"Florida, United States",,"Florida, United States",,,,FL,,2022-05-28 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8622,irishfemboy_,2822,,"London, England",London,England,"London, England",,"London, England",,,,,,2022-05-28 02:00:00.000,2022-05-08 02:00:00,2022-05-28 02:00:00.000
8623,jamiekelvinx,2822,361,Česká republika,Česká republika,,Česká republika,,Česká republika,,,,,,2022-05-27 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8624,jhoan_garcia91,2821,309,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-05-27 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8625,hardmikee,2819,1500,"San Antonio, TX",San Antonio,TX,"San Antonio, TX",,"San Antonio, TX",,,,TX,SAN ANTONIO,2022-05-27 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8626,boyszbln,2817,,"Amsterdam, The Netherlands",Amsterdam,The Netherlands,"Amsterdam, The Netherlands",,"Amsterdam, The Netherlands",,,,,,2022-05-27 02:00:00.000,2022-05-22 02:00:00,2022-05-28 02:00:00.000
8627,francoscottxxx,2814,118,Miami Beach,Miami Beach,,Miami Beach,,Miami Beach,,,,FL,MIAMI,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8628,ausguy95,2806,,"Sydney, New South Wales",Sydney,New South Wales,"Sydney, New South Wales",,"Sydney, New South Wales",,,,,,2022-05-27 02:00:00.000,2022-05-18 02:00:00,2022-05-28 02:00:00.000
8629,justmaxof,2805,1400,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8630,jakeaussiexxx,2803,,"Brisbane, Queensland",Brisbane,Queensland,"Brisbane, Queensland",,"Brisbane, Queensland",,,,,,2022-05-27 02:00:00.000,2022-05-21 02:00:00,2022-05-28 02:00:00.000
8631,faul_patrick,2801,,Offenbach/Frankfurt a. Main,Offenbach/Frankfurt a. Main,,Offenbach/Frankfurt a. Main,,Offenbach,Frankfurt a. Main,,,,,2022-05-27 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8632,adamclayxxx,2796,,"Palm Springs, CA",Palm Springs,CA,"Palm Springs, CA",,"Palm Springs, CA",,,,CA,,2022-05-27 02:00:00.000,2022-05-09 02:00:00,2022-05-28 02:00:00.000
8633,kriss_ak47,2794,4500,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8634,youngscotboy,2793,,"Dundee, Scotland",Dundee,Scotland,"Dundee, Scotland",,"Dundee, Scotland",,,,,,2022-05-27 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8635,patricioxbo,2792,,Peru,Peru,,Peru,,Peru,,,,,,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8636,chase_nassxxx,2789,218,,,,,,,,,,,,2022-05-28 02:00:00.000,2022-05-28 02:00:00,2022-05-28 02:00:00.000
8637,muscle_viking,2784,1500,"Budapest, HU",Budapest,HU,"Budapest, HU",,"Budapest, HU",,,,,,2022-05-27 02:00:00.000,2022-05-19 02:00:00,2022-05-28 02:00:00.000
8638,valentinovxxx,2783,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-05-28 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
8639,curtisrandalxxx,2783,,Central Florida,Central Florida,,Central Florida,,Central Florida,,,,,,2022-05-27 02:00:00.000,2022-05-25 02:00:00,2022-05-28 02:00:00.000
8640,musclebear11,2783,,"New Jersey, USA",New Jersey,USA,"New Jersey, USA",,"New Jersey, USA",,,,NJ,,2022-05-28 02:00:00.000,2022-05-27 02:00:00,2022-05-28 02:00:00.000
8641,alexloaderxxx,2773,,,,,,,,,,,,,2022-05-27 02:00:00.000,2022-05-12 02:00:00,2022-05-28 02:00:00.000
8642,socalswallower,2773,,"Downey, CA",Downey,CA,"Downey, CA",,"Downey, CA",,,,CA,DOWNEY,2022-05-27 02:00:00.000,2022-05-24 02:00:00,2022-05-28 02:00:00.000
