"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date","profile_img_url"
397,@eddiemadeinmx,2K,9440,eddiemadeinmx,2004,,"San Antonio, TX",San Antonio,TX,"San Antonio, TX",,"San Antonio, TX",,,,TX,SAN ANTONIO,2022-06-15 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1368641467565146116/rcSp0WbB_400x400.jpg
398,@flacklo691,2K,9462,flacklo691,1974,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1491725405723807746/rmg4DJQZ_400x400.jpg
399,@satxchubbottom,2K,9481,satxchubbottom,1950,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1185301350252515329/Xif7MMzr_400x400.jpg
400,@artthot_,2K,9485,artthot_,1946,,Tx,Tx,,Tx,,Tx,,,,TX,,2022-06-15 02:00:00.000,2022-06-10 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1515623556239011841/0WncZyms_400x400.jpg
401,@masteralex817,2K,9495,masteralex817,1919,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1410940868090077189/oQoEZqTy_400x400.jpg
402,@arilesass,2K,9505,arilesass,1904,,"Puerto Rico, USA",Puerto Rico,USA,"Puerto Rico, USA",,"Puerto Rico, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1232045722607980546/5AuOMEdi_400x400.jpg
403,@goodboycomplex,2K,9518,goodboycomplex,1873,232,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1535287843794329600/4cdZQhBF_400x400.jpg
404,@gaybeartx,2K,9547,gaybeartx,1830,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-05-21 02:00:00,2022-06-16 02:00:00.000,
405,@thotboynate,2K,9556,thotboynate,1815,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-15 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1520188053670793218/zZTS0y1E_400x400.jpg
406,@btm_pig,2K,9607,btm_pig,1727,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1171965455751405570/8WKyC3EB_400x400.jpg
407,@baxterceto,2K,9652,baxterceto,1647,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-13 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1347573974545399811/AzFa5zZl_400x400.jpg
408,@masterlouieee,2K,9670,masterlouieee,1614,,"San Marcos, TX",San Marcos,TX,"San Marcos, TX",,"San Marcos, TX",,,,TX,,2022-04-01 02:00:00.000,2022-03-28 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1417599372515319812/vwd1OmXQ_400x400.jpg
409,@leoanthonyxxx,2K,9678,leoanthonyxxx,1597,214,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-05-31 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/731286317024186369/Wr5GB5db_400x400.jpg
410,@texxxas_polo,2K,9680,texxxas_polo,1594,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1479628113856253952/sIiWRzCd_400x400.jpg
411,@maxxxharrisonff,2K,9713,maxxxharrisonff,1561,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-15 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1400462813936590849/gNfQNzbK_400x400.jpg
412,@xavier_lee21,2K,9717,xavier_lee21,1545,11,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-09 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1528136698852515841/b6JspiWr_400x400.jpg
413,@xtexas11,2K,9735,xtexas11,1519,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1248282364779704321/jwIuo8W6_400x400.jpg
414,@cumdump_chuck,1K,9754,cumdump_chuck,1477,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-27 02:00:00,2022-06-16 02:00:00.000,
415,@brandonxxx_cum,1K,9756,brandonxxx_cum,1474,,"San Antonio, TX",San Antonio,TX,"San Antonio, TX",,"San Antonio, TX",,,,TX,SAN ANTONIO,2022-06-15 02:00:00.000,2022-06-09 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1460985593320644622/__fpUIcx_400x400.jpg
416,@gaycubtx,1K,9771,gaycubtx,1444,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-16 02:00:00.000,2022-06-08 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1078739362580520961/2svHnHnt_400x400.jpg
417,@astralprettyboy,1K,9772,astralprettyboy,1443,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-15 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1518885306984026113/DKKMUZcL_400x400.jpg
418,@hornyhtxbottom,1K,9775,hornyhtxbottom,1436,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1153825516480155648/iq43E_Dv_400x400.jpg
419,@scruffysstudboy,1K,9777,scruffysstudboy,1433,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-21 02:00:00,2022-06-16 02:00:00.000,
420,@mickey_moist,1K,9795,mickey_moist,1400,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-10 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1458954358977085442/wPE3M2HN_400x400.jpg
421,@dirtyjonnyxxx,1K,9808,dirtyjonnyxxx,1373,72,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1512220762287091718/Wr3117VG_400x400.jpg
422,@evanstarxx,1K,9836,evanstarxx,1325,70,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-16 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1501942215269969932/1B43pbD6_400x400.jpg
423,@coltmcgrawxxx,1K,9861,coltmcgrawxxx,1275,,Texas,Texas,,Texas,,Texas,,,,TX,,2022-06-15 02:00:00.000,2022-03-23 01:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1305615908/colt14_400x400.jpg
424,@txgrinandbareit,1K,9866,txgrinandbareit,1266,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-16 02:00:00,2022-06-16 02:00:00.000,
425,@nick0733,1K,9896,nick0733,1224,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-16 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1478120448172908547/xlrQr9dW_400x400.jpg
426,@ofccamxxx,1K,9926,ofccamxxx,1189,,"El Paso, TX",El Paso,TX,"El Paso, TX",,"El Paso, TX",,,,TX,EL PASO,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1519460859159973890/dov3AT_g_400x400.jpg
427,@txbillay,1K,10037,txbillay,1053,,Dallas,Dallas,,Dallas,,Dallas,,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-24 02:00:00,2022-06-16 02:00:00.000,
428,@boysc0ut,1K,10052,boysc0ut,1033,204,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-16 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1315730981551300611/7-u-G_Qi_400x400.jpg
429,@raultauro3,1K,10070,raultauro3,1000,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1496353523046522886/ebci8uXN_400x400.jpg
430,@wn89446027,1K,10108,wn89446027,936,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1266467847275982849/kQShb1_F_400x400.jpg
431,@krakrahonrybunz,1K,10144,krakrahonrybunz,877,,"Fort Worth, TX",Fort Worth,TX,"Fort Worth, TX",,"Fort Worth, TX",,,,TX,FORT WORTH,2022-05-20 02:00:00.000,2022-05-18 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1468817937272291328/3nJlpAbG_400x400.jpg
432,@friscoguy1982,1K,10151,friscoguy1982,864,,"Frisco, TX",Frisco,TX,"Frisco, TX",,"Frisco, TX",,,,TX,FRISCO,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1423414152341622784/KAKqaPhJ_400x400.jpg
433,@kevinbransonnn,1K,10161,kevinbransonnn,853,1200,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1455780819465904134/pTSsqsl-_400x400.jpg
434,@dtxboi1,1K,10168,dtxboi1,843,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1266452538724925441/zZhzMCK4_400x400.jpg
435,@lukedia4038573,1K,10206,lukedia4038573,781,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-06-13 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1227969726883590145/NChJus82_400x400.jpg
436,@blueeyedtxan,1K,10229,blueeyedtxan,733,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-27 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1434921661481066496/BvfZN7HD_400x400.jpg
437,@alexdomc28,1K,10234,alexdomc28,729,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-13 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1209656887328878593/VNOm_bR6_400x400.jpg
438,@cornfedaddyxxx,1K,10240,cornfedaddyxxx,722,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-10 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1249616869683875841/DzkDQzrh_400x400.jpg
439,@xxxaustin_,1K,10247,xxxaustin_,711,22,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-09 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1503525483035697152/0cMFjXsD_400x400.jpg
440,@breauxtx,1K,10266,breauxtx,683,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1373618015095418880/BK4iTJyz_400x400.jpg
441,@dfwbiman,1K,10270,dfwbiman,678,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-04-27 02:00:00,2022-06-16 02:00:00.000,
442,@geekygay,1K,10281,geekygay,665,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1529831035600527363/DXtYkkQo_400x400.jpg
443,@bttmatx,1K,10284,bttmatx,661,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-04-25 02:00:00,2022-06-16 02:00:00.000,
444,@nostormyss,1K,10294,nostormyss,648,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1494018267207409672/ESES8fqR_400x400.jpg
445,@atxjockotter,1K,10295,atxjockotter,648,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-16 02:00:00.000,2022-05-23 02:00:00,2022-06-16 02:00:00.000,
446,@thatmanchris01,1K,10297,thatmanchris01,645,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1433675742227968018/nLxxg_zr_400x400.jpg
447,@xxxarnette,1K,10298,xxxarnette,644,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-12 02:00:00.000,2022-04-26 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1442516466155151368/XFfwrKR2_400x400.jpg
448,@eagervers,1K,10307,eagervers,635,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-09 02:00:00,2022-06-16 02:00:00.000,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
449,@brentbianchixxx,1K,10337,brentbianchixxx,591,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-10 02:00:00.000,2022-06-09 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1508144746975399938/QnJdBL1C_400x400.jpg
450,@greetingsfrmatx,1K,10342,greetingsfrmatx,583,136,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1517988252581519367/Uef0HzL5_400x400.jpg
451,@mikeroxxxo,1K,10343,mikeroxxxo,583,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-04 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1519126374254002176/jhFeAoup_400x400.jpg
452,@keevtw,1K,10355,keevtw,567,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1520408611138244609/WjIBYqCr_400x400.jpg
453,@throatzillahtx,1K,10405,throatzillahtx,521,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-16 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1375198772670705664/8BBYwUdW_400x400.jpg
454,@maskedmodelgreg,K,10432,maskedmodelgreg,481,,"Dallas, Texas",Dallas,Texas,"Dallas, Texas",,"Dallas, Texas",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-05 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/860893464032157696/jGk89E72_400x400.jpg
455,@lukasvilhelm,K,10434,lukasvilhelm,481,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-09 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1282090826148052992/01klWzUh_400x400.jpg
456,@atxprincedarby,K,10439,atxprincedarby,477,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1395487948305584129/mtZehq_W_400x400.jpg
457,@jackcutlass,K,10484,jackcutlass,435,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1492645168037695488/PFeZ8GQj_400x400.jpg
458,@redheadtwunk,K,10485,redheadtwunk,434,937,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1506824087657758720/Paxhxizf_400x400.jpg
459,@txcumdump4now,K,10492,txcumdump4now,425,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1320397074731585536/_aNXxeXG_400x400.jpg
460,@johnnyjoexxx,K,10518,johnnyjoexxx,393,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1358902309233819649/pKPDyyZc_400x400.jpg
461,@altsrusxx,K,10520,altsrusxx,386,,tx,tx,,tx,,tx,,,,TX,,2022-06-15 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1524912319947591680/rOTsFw3w_400x400.jpg
462,@robvalsal,K,10525,robvalsal,378,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-03-15 01:00:00.000,2022-02-26 01:00:00,2022-06-16 02:00:00.000,
463,@christianboydtx,K,10529,christianboydtx,372,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-24 02:00:00,2022-06-16 02:00:00.000,
464,@masterryan420,K,10563,masterryan420,332,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-14 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1082392294014238720/olzxcs6Y_400x400.jpg
465,@antonioxantojo,K,10653,antonioxantojo,248,,"Houston, TX",Houston,TX,"Houston, TX",,"Houston, TX",,,,TX,HOUSTON,2022-06-16 02:00:00.000,2022-05-30 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1372057947006701571/nyi5FFGu_400x400.jpg
466,@jaspleasurexx,K,10666,jaspleasurexx,237,,"Austin, TX",Austin,TX,"Austin, TX",,"Austin, TX",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-05 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1456880346017026051/E1NLAXlt_400x400.jpg
467,@leatherman_wil,K,10681,leatherman_wil,226,,Austin Texas,Austin Texas,,Austin Texas,,Austin Texas,,,,TX,AUSTIN,2022-06-16 02:00:00.000,2022-05-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1427240189467021314/DrG2WuMx_400x400.jpg
468,@mykamullins,K,10706,mykamullins,202,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1408594735846105095/z_BNvE4j_400x400.jpg
469,@prettyboypussy,K,10762,prettyboypussy,143,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-06-15 02:00:00,2022-06-16 02:00:00.000,
470,@strokeman1970,K,10775,strokeman1970,133,,"Dallas, Texas",Dallas,Texas,"Dallas, Texas",,"Dallas, Texas",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-06-10 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1377677471349374978/h9uF6tuS_400x400.jpg
471,@joeyhonlyfans,K,10837,joeyhonlyfans,76,,"Texas, USA",Texas,USA,"Texas, USA",,"Texas, USA",,,,TX,,2022-06-15 02:00:00.000,2022-05-27 02:00:00,2022-06-16 02:00:00.000,
472,@no1cumslut,K,10848,no1cumslut,67,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-15 02:00:00.000,2022-05-14 02:00:00,2022-06-16 02:00:00.000,
473,@xxxjojostarxxx,K,10850,xxxjojostarxxx,65,,TX ,TX,,TX,,TX,,,,TX,,2022-06-15 02:00:00.000,2022-06-11 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1443538429891985414/d3azFsDP_400x400.jpg
474,@pooljunkie_92,K,10852,pooljunkie_92,65,,"Dallas, TX",Dallas,TX,"Dallas, TX",,"Dallas, TX",,,,TX,DALLAS,2022-06-16 02:00:00.000,2022-06-08 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/1490817145965580292/CadgkTQe_400x400.jpg
475,@silasgreen,K,10892,silasgreen,36,,"Austin, Texas",Austin,Texas,"Austin, Texas",,"Austin, Texas",,,,TX,AUSTIN,2022-06-15 02:00:00.000,2022-06-12 02:00:00,2022-06-16 02:00:00.000,http://pbs.twimg.com/profile_images/386908676/5772_225586665437_713085437_7629924_7601839_n_400x400.jpg

